Operator,TD,TVD,TotalFluid,TotalProppant,TopPerf,BottomPerf,FluidType,LateralLength,ChokeTopDescription,MaxFlowingPSI,MaxShutinPSI,FlowGas,FlowWater,SurfaceX,SurfaceY,Z_BelowSurface,Isopach,Porosity,TotalGasBCFPerSection,Temperature,Pressure,KOP,FirstProdDate,minLateralSpacing,numOfOffsetLateralSpacingWells,EUR,IP
P,15678,10909,141896.3,4646500,11276,15505,GEL,3084.75,0.25,4649,4825,6517,243,1704680.547,844615.9576,11000,82,0.1003,71.3059,292,8600,5168.5,2015,1253.004171,2,7700000,4825.471593
P,17940,9579,490761,19270000,9846,17723,,5916.75,0.375,4093,4792,9864,715,1613447.676,793714.6,9600,128,0.1193,175.4669,264,7200,4506.5,2017,1147.47418,2,19500000,10124.16913
P,18050,9624,505346,23154000,9877,17853,,5928,0.375,4505,4867,11142,780,1613461.747,793721.5076,9600,128,0.1193,175.4669,264,7200,4553.5,2017,1177.851217,1,22800000,10878.49327
S,16980,9426,125046.7,9448000,10225,16886,GEL,5128.5,0.5,3326,4937,14944,696,1616866.598,817449.9534,9500,167,0.1136,179.6027,262,7103.409091,4600.5,2015,987.8031839,2,5200000,9943.906732
S,16842,9420,165737.1,26614000,10350,16663,GEL,5094.75,0.5,3707,5240,17796,840,1616886.059,817457.025,9500,167,0.1136,182.852,262,7103.409091,4507,2015,987.8031839,2,8900000,12559.93727
P,17752,11994,306112,10406000,12348,17642,SLKW,3868.5,0.21875,7389,7680,5381,559,1752937.281,830981.661,12219,100,0.0638,56.9392,316.38,9891.558205,5934.5,2017,NaN,0,21600000,8039.243678
P,15220,10396,179405,8958000,10720,15076,SLKW,3124.5,0.375,2591,6030,6100,593,1660122.844,810340.1297,10435,148,0.0912,140.7945,280.7,8024.277841,5480,2018,NaN,0,1800000,4549.218719
P,19592,12492,212737.2,8204720,13149,19455,GEL,4836,368.59375,8055,8231,5638,316,1781490.135,840731.0498,12700,120,0.05,55.7452,326,10419.77273,6100,2015,NaN,0,11600000,6842.751067
E,19673,10190,223520.5,14472000,10099,19583,GEL,7064.25,0.375,15,3434,12148,74,1666011.794,846333.8727,9875,122,0.1064,112.133,269.5,7467.96875,4819.5,2015,1003.324982,2,7600000,10860.57537
E,19892,10190,216653.5,14022000,10058,19300,GEL,7316.25,0.375,15,5355,13082,72,1666021.579,846344.6914,9875,122,0.1064,112.133,269.5,7467.96875,4358.5,2015,1003.324982,2,3700000,10744.52447
S,17067,9405,127032,9396000,9834,16827,GEL,5264.25,0.5,3515,5124,16751,648,1616905.519,817464.0967,9500,167,0.1136,182.852,262,7103.409091,4507,2015,949.5750612,2,8900000,11075.69754
P,17430,10617,215620.9,6806000,10915,17240,GEL,4749,368.109375,6678,6811,1978,290,1669867.475,793816.6022,10800,126,0.0856,89.1008,288,8394.545455,4966,2015,1970.752518,1,7500000,7537.397377
S,16754,9306,189705.3,13450000,9610,16601,GEL,5118,0.46875,4238,4631,19162,282,1611484.83,816054.9231,9379,168,0.11,176.6722,259.58,6987.141841,4463,2016,1044.017958,1,14100000,13255.45057
S,16755,9307,192227.6,13508000,9548,16602,GEL,5094,0.4375,4095,4601,16812,286,1611520.881,816069.3093,9379,168,0.11,176.6722,259.58,6987.141841,4226.5,2016,1044.017958,2,15100000,12903.00854
S,16516,9608,109499.8,5722000,9750,16070,GEL,5001.75,0.3125,3826,4196,8363,200,1611465.329,816044.2185,9379,168,0.1088,176.6722,259.58,6987.141841,4461,2016,1024.013915,1,8400000,5959.232512
S,15702,9616,143340.4,11444000,9594,15550,GEL,4325.25,0.4375,4255,4730,17468,216,1611501.959,816061.3983,9379,168,0.11,176.6722,259.58,6987.141841,1246,2016,1024.013915,2,14200000,13864.37668
E,13596,8604,415288.6,18842000,9006,13306,GEL,3415.5,0.59375,3658,4170,17613,2093,1623656.049,889601.8059,8577,82,0.1182,91.4288,243.54,6233.33475,2106.5,2016,NaN,0,13400000,15481.69885
P,19183,12636,315946,12366000,12789,19016,SLKW,4559.25,0.21875,8097,9200,7460,286,1780098.404,834801.296,12771,120,0.0488,55.4135,327.42,10498.63275,6034,2017,1261.086161,1,10800000,9254.387521
